difficulty,source_type,metric,sample_size,mean,std,median,min,max
intermediate,AI,code_quality_metrics.starter_code_avg_function_loc,2,16.5,17.67766952966369,16.5,4.0,29.0
intermediate,AI,code_quality_metrics.starter_code_comment_line_ratio,2,0.1987,0.011596551211459378,0.1987,0.1905,0.2069
intermediate,AI,code_quality_metrics.starter_code_docstring_count,2,0.5,0.7071067811865476,0.5,0.0,1.0
intermediate,AI,code_quality_metrics.starter_code_function_count,2,1.5,0.7071067811865476,1.5,1.0,2.0
intermediate,AI,code_quality_metrics.starter_code_loc_total,2,25.0,5.656854249492381,25.0,21.0,29.0
intermediate,AI,code_quality_metrics.starter_code_max_function_loc,2,16.5,17.67766952966369,16.5,4.0,29.0
intermediate,AI,code_quality_metrics.starter_code_mccabe_max,2,1.5,0.7071067811865476,1.5,1.0,2.0
intermediate,AI,code_quality_metrics.starter_code_mi,2,97.79105,3.1239270486040502,97.79105,95.5821,100.0
intermediate,AI,code_quality_metrics.starter_code_pylint_warning_count,2,11.0,5.656854249492381,11.0,7.0,15.0
intermediate,AI,code_quality_metrics.starter_code_ruff_error_count,2,0.5,0.7071067811865476,0.5,0.0,1.0
intermediate,AI,instruction_metrics.avg_sentence_length,2,21.54165,3.947989291398852,21.54165,18.75,24.3333
intermediate,AI,instruction_metrics.flesch_kincaid_grade,2,12.0185,1.1125618095189136,12.0185,11.2318,12.8052
intermediate,AI,instruction_metrics.flesch_reading_ease,2,42.2918,7.976164491784257,42.2918,36.6518,47.9318
intermediate,AI,instruction_metrics.instruction_completeness_ratio,2,0.91665,0.11787470042379744,0.91665,0.8333,1.0
intermediate,AI,instruction_metrics.max_sentence_length,2,38.0,4.242640687119285,38.0,35.0,41.0
intermediate,AI,instruction_metrics.technical_term_density_instruction,2,0.02685,0.0185969083452062,0.02685,0.0137,0.04
intermediate,AI,instruction_metrics.var_sentence_length,2,117.87155,71.15749889368654,117.87155,67.5556,168.1875
intermediate,AI,structure_metrics.structure_completeness_ratio,2,0.875,0.0,0.875,0.875,0.875
intermediate,AI,structure_metrics.structure_score_weighted,2,0.8667,0.0,0.8667,0.8667,0.8667
intermediate,Expert,code_quality_metrics.starter_code_avg_function_loc,1,4.0,,4.0,4.0,4.0
intermediate,Expert,code_quality_metrics.starter_code_comment_line_ratio,1,0.0,,0.0,0.0,0.0
intermediate,Expert,code_quality_metrics.starter_code_docstring_count,1,1.0,,1.0,1.0,1.0
intermediate,Expert,code_quality_metrics.starter_code_function_count,1,2.0,,2.0,2.0,2.0
intermediate,Expert,code_quality_metrics.starter_code_loc_total,1,10.0,,10.0,10.0,10.0
intermediate,Expert,code_quality_metrics.starter_code_max_function_loc,1,5.0,,5.0,5.0,5.0
intermediate,Expert,code_quality_metrics.starter_code_mccabe_max,1,2.0,,2.0,2.0,2.0
intermediate,Expert,code_quality_metrics.starter_code_mi,1,70.3267,,70.3267,70.3267,70.3267
intermediate,Expert,code_quality_metrics.starter_code_pylint_warning_count,1,5.0,,5.0,5.0,5.0
intermediate,Expert,code_quality_metrics.starter_code_ruff_error_count,1,6.0,,6.0,6.0,6.0
intermediate,Expert,instruction_metrics.avg_sentence_length,2,10.5,2.1213203435596424,10.5,9.0,12.0
intermediate,Expert,instruction_metrics.flesch_kincaid_grade,2,11.3675,0.21566756826189679,11.3675,11.215,11.52
intermediate,Expert,instruction_metrics.flesch_reading_ease,2,32.265,5.324514062334703,32.265,28.5,36.03
intermediate,Expert,instruction_metrics.instruction_completeness_ratio,2,0.3333,0.0,0.3333,0.3333,0.3333
intermediate,Expert,instruction_metrics.max_sentence_length,2,12.5,4.949747468305833,12.5,9.0,16.0
intermediate,Expert,instruction_metrics.technical_term_density_instruction,2,0.0764,0.0490732106143464,0.0764,0.0417,0.1111
intermediate,Expert,instruction_metrics.var_sentence_length,2,8.0,11.313708498984761,8.0,0.0,16.0
intermediate,Expert,structure_metrics.structure_completeness_ratio,2,0.625,0.0,0.625,0.625,0.625
intermediate,Expert,structure_metrics.structure_score_weighted,2,0.6333,0.0,0.6333,0.6333,0.6333
intermediate-advanced,AI,code_quality_metrics.starter_code_avg_function_loc,3,17.666666666666668,11.846237095944574,24.0,4.0,25.0
intermediate-advanced,AI,code_quality_metrics.starter_code_comment_line_ratio,3,0.268,0.06200290315783609,0.2826,0.2,0.3214
intermediate-advanced,AI,code_quality_metrics.starter_code_docstring_count,3,0.6666666666666666,0.5773502691896258,1.0,0.0,1.0
intermediate-advanced,AI,code_quality_metrics.starter_code_function_count,3,1.3333333333333333,0.5773502691896257,1.0,1.0,2.0
intermediate-advanced,AI,code_quality_metrics.starter_code_loc_total,3,33.0,11.357816691600547,28.0,25.0,46.0
intermediate-advanced,AI,code_quality_metrics.starter_code_max_function_loc,3,21.666666666666668,16.258331197676263,25.0,4.0,36.0
intermediate-advanced,AI,code_quality_metrics.starter_code_mccabe_max,3,1.6666666666666667,1.1547005383792517,1.0,1.0,3.0
intermediate-advanced,AI,code_quality_metrics.starter_code_mi,3,94.61593333333333,6.851242401443212,96.9437,86.9041,100.0
intermediate-advanced,AI,code_quality_metrics.starter_code_pylint_warning_count,3,11.666666666666666,6.429100507328637,9.0,7.0,19.0
intermediate-advanced,AI,code_quality_metrics.starter_code_ruff_error_count,3,2.0,1.0,2.0,1.0,3.0
intermediate-advanced,AI,instruction_metrics.avg_sentence_length,3,26.416666666666668,2.623322744790152,25.6667,24.25,29.3333
intermediate-advanced,AI,instruction_metrics.flesch_kincaid_grade,3,15.0889,2.1034981887322837,15.9311,12.6948,16.6408
intermediate-advanced,AI,instruction_metrics.flesch_reading_ease,3,31.2126,10.774887516350228,29.3799,21.4716,42.7863
intermediate-advanced,AI,instruction_metrics.instruction_completeness_ratio,3,0.9444333333333333,0.0962442898739106,1.0,0.8333,1.0
intermediate-advanced,AI,instruction_metrics.max_sentence_length,3,52.333333333333336,5.131601439446884,51.0,48.0,58.0
intermediate-advanced,AI,instruction_metrics.technical_term_density_instruction,3,0.044566666666666664,0.0338096633129248,0.0455,0.0103,0.0779
intermediate-advanced,AI,instruction_metrics.var_sentence_length,3,309.0995333333333,105.47795350604473,320.8889,198.2222,408.1875
intermediate-advanced,AI,structure_metrics.structure_completeness_ratio,3,0.875,0.0,0.875,0.875,0.875
intermediate-advanced,AI,structure_metrics.structure_score_weighted,3,0.8667000000000001,1.3597399555105182e-16,0.8667,0.8667,0.8667
intermediate-advanced,Expert,code_quality_metrics.starter_code_avg_function_loc,2,7.375,0.8838834764831844,7.375,6.75,8.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_comment_line_ratio,2,0.04725,0.016334166645409244,0.04725,0.0357,0.0588
intermediate-advanced,Expert,code_quality_metrics.starter_code_docstring_count,2,0.0,0.0,0.0,0.0,0.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_function_count,2,3.0,1.4142135623730951,3.0,2.0,4.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_loc_total,2,22.5,7.7781745930520225,22.5,17.0,28.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_max_function_loc,2,11.0,2.8284271247461903,11.0,9.0,13.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_mccabe_max,2,3.5,0.7071067811865476,3.5,3.0,4.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_mi,2,70.38114999999999,10.255098936870377,70.38114999999999,63.1297,77.6326
intermediate-advanced,Expert,code_quality_metrics.starter_code_pylint_warning_count,2,9.0,2.8284271247461903,9.0,7.0,11.0
intermediate-advanced,Expert,code_quality_metrics.starter_code_ruff_error_count,2,8.0,1.4142135623730951,8.0,7.0,9.0
intermediate-advanced,Expert,instruction_metrics.avg_sentence_length,3,22.305566666666664,8.212614563178604,22.0,14.25,30.6667
intermediate-advanced,Expert,instruction_metrics.flesch_kincaid_grade,3,16.0796,6.003089328004374,16.8582,9.7252,21.6554
intermediate-advanced,Expert,instruction_metrics.flesch_reading_ease,3,19.0138,28.41984073231235,13.3823,-6.1687,49.8278
intermediate-advanced,Expert,instruction_metrics.instruction_completeness_ratio,3,0.7777666666666666,0.0961865548469917,0.8333,0.6667,0.8333
intermediate-advanced,Expert,instruction_metrics.max_sentence_length,3,33.333333333333336,14.571661996262929,35.0,18.0,47.0
intermediate-advanced,Expert,instruction_metrics.technical_term_density_instruction,3,0.007233333333333334,0.012528500841414878,0.0,0.0,0.0217
intermediate-advanced,Expert,instruction_metrics.var_sentence_length,3,103.58103333333334,84.49272764092382,133.5556,8.1875,169.0
intermediate-advanced,Expert,structure_metrics.structure_completeness_ratio,3,0.9166666666666666,0.07216878364870323,0.875,0.875,1.0
intermediate-advanced,Expert,structure_metrics.structure_score_weighted,3,0.9185333333333334,0.07055220289497226,0.8778,0.8778,1.0
